PATTERN: 0xff00
PING facebook.com (157.240.16.35) 56(84) bytes of data.
43.9 ms
33.7 ms
32.2 ms
32.0 ms
76.3 ms
41.3 ms
38.2 ms
39.0 ms
38.5 ms
44.4 ms
59.7 ms
41.1 ms
41.5 ms
36.5 ms
48.9 ms
65.2 ms
63.7 ms
63.7 ms
45.5 ms
38.2 ms
36.4 ms
37.5 ms
44.2 ms
31.1 ms
42.8 ms
46.0 ms
35.6 ms
34.1 ms
45.6 ms
52.1 ms
40.1 ms
45.6 ms
38.7 ms
35.4 ms
32.6 ms
42.8 ms
40.0 ms
50.0 ms
42.4 ms
35.7 ms
33.7 ms
51.2 ms
29.2 ms
37.8 ms
45.7 ms
33.7 ms
41.9 ms
40.6 ms
38.2 ms
37.4 ms
39.8 ms
33.7 ms
42.2 ms
40.2 ms
39.5 ms
28.0 ms
33.4 ms
42.4 ms
38.9 ms
45.4 ms
39.2 ms
66.5 ms
63.9 ms
74.9 ms
42.1 ms
42.0 ms
27.8 ms
53.8 ms
33.7 ms
43.2 ms
40.0 ms
38.0 ms
44.7 ms
39.3 ms
33.2 ms
42.0 ms
40.5 ms
40.0 ms
37.0 ms
35.4 ms
40.6 ms
53.3 ms
49.4 ms
78.5 ms
40.4 ms
48.2 ms
34.6 ms
52.8 ms
41.8 ms
39.4 ms
41.0 ms
39.4 ms
52.7 ms
50.6 ms
39.4 ms
27.8 ms
37.0 ms
38.0 ms
32.9 ms
42.2 ms
38.8 ms
86.9 ms
37.0 ms
47.2 ms
35.2 ms
36.5 ms
41.2 ms
44.4 ms
41.8 ms
44.0 ms
41.6 ms
31.5 ms
57.4 ms
38.0 ms
38.2 ms
38.5 ms
35.3 ms
35.9 ms
43.8 ms
42.4 ms
40.9 ms
53.1 ms
39.4 ms
53.9 ms
38.6 ms
37.1 ms
39.6 ms
34.9 ms
33.9 ms
34.2 ms
35.9 ms
34.8 ms
32.2 ms
42.0 ms
41.5 ms
41.9 ms
44.3 ms
49.7 ms
48.8 ms
39.8 ms
42.6 ms
46.5 ms
57.6 ms
54.6 ms
41.8 ms
43.7 ms
40.5 ms
53.3 ms
29.1 ms
28.1 ms
37.1 ms
36.5 ms
40.4 ms
31.9 ms
43.5 ms
39.3 ms
37.6 ms
40.7 ms
34.1 ms
40.8 ms
40.4 ms
37.9 ms
36.6 ms
34.0 ms
38.9 ms
40.9 ms
47.3 ms
46.7 ms
34.8 ms
40.9 ms
40.9 ms
40.8 ms
37.3 ms
38.0 ms
34.2 ms
32.1 ms
30.8 ms
38.9 ms
41.6 ms
43.5 ms
46.4 ms
77.0 ms
61.8 ms
64.9 ms
35.0 ms
33.7 ms
41.8 ms
30.1 ms
37.2 ms
25.8 ms
42.6 ms
49.4 ms
39.9 ms
37.5 ms
36.9 ms
34.6 ms
42.0 ms
40.1 ms
27.5 ms
35.9 ms
43.3 ms
33.6 ms
39.8 ms
47.5 ms
36.7 ms
34.2 ms
39.1 ms
44.2 ms
37.9 ms
39.5 ms
38.5 ms
53.1 ms
35.4 ms
31.8 ms
48.2 ms
54.8 ms
53.1 ms
46.7 ms
48.0 ms
35.9 ms
35.5 ms
30.2 ms
36.5 ms
36.6 ms
41.2 ms
42.0 ms
42.0 ms
60.0 ms
111 ms
55.3 ms
33.3 ms
31.9 ms
40.7 ms
39.2 ms
37.6 ms
43.1 ms
45.6 ms
41.6 ms
40.3 ms
39.9 ms
27.9 ms
45.4 ms
45.3 ms
42.0 ms
42.8 ms
29.4 ms
37.0 ms
35.1 ms
40.9 ms
49.2 ms
31.1 ms
47.7 ms
45.5 ms
42.4 ms
42.3 ms
32.6 ms
39.0 ms
37.7 ms
33.6 ms
44.2 ms
32.0 ms
39.1 ms
39.2 ms
36.9 ms
44.0 ms
41.6 ms
33.3 ms
59.9 ms
58.9 ms
42.3 ms
35.9 ms
34.8 ms
31.9 ms
37.5 ms
39.8 ms
37.8 ms
36.1 ms
34.7 ms
32.7 ms
29.6 ms
37.9 ms
36.1 ms
34.7 ms
32.9 ms
31.5 ms
39.4 ms
37.3 ms
45.8 ms
46.3 ms
31.7 ms
41.1 ms
37.1 ms
36.1 ms
50.9 ms
44.7 ms
41.3 ms
29.0 ms
35.0 ms
37.5 ms
35.1 ms
51.6 ms
41.9 ms
51.8 ms
28.2 ms
35.2 ms
33.4 ms
40.2 ms
38.9 ms
36.7 ms
35.0 ms
34.6 ms
41.9 ms
39.5 ms
58.0 ms
56.7 ms
54.5 ms
40.6 ms
41.2 ms
36.8 ms
28.7 ms
37.2 ms
34.8 ms
44.4 ms
41.0 ms
39.0 ms
37.4 ms
44.8 ms
44.3 ms
44.2 ms
41.3 ms
38.5 ms
37.8 ms
41.7 ms
32.2 ms
40.6 ms
38.7 ms
27.7 ms
42.1 ms
33.4 ms
38.7 ms
39.4 ms
38.3 ms
35.2 ms
34.3 ms
43.1 ms
40.3 ms
47.7 ms
36.6 ms
44.2 ms
33.9 ms
42.8 ms
46.7 ms
39.9 ms
38.8 ms
38.0 ms
36.1 ms
34.6 ms
